id,name,category,subcategory,address,district,lat,lng,rating_score,rating_count,description,source
google-places-ChIJEzgCOSTDOxMRQD_lIGrhNkQ,Al dente Bakery Cafe,food,brunch,"Via Santi Martiri Salernitani, 39, 84122 Salerno SA",Salerno,40.676743699999996,14.7694859,4.5,43,,google_places
google-places-ChIJA-WQwC_DOxMRNWY1P2mECL4,Aperi & Bakery Salerno,food,brunch,"Via Francesco Farao, 2, 84124 Salerno SA",Salerno,40.6811772,14.7742121,4.7,6,,google_places
google-places-ChIJx-j8PTrCOxMRH9pGMGDd7Ec,Bar Moka,food,brunch,"Corso Vittorio Emanuele, 108, 84123 Salerno SA",Salerno,40.6765565,14.767547500000001,4,885,,google_places
google-places-ChIJYS7vjxDDOxMRzxODyIRYq5w,Bar New York cafè,food,brunch,"Via Roma, 60, 84121 Salerno SA",Salerno,40.6776237,14.7608577,4.8,53,,google_places
google-places-ChIJxXDslDDCOxMRQNrT8Et0Lfk,Bar Pasticceria Dolce e Caffé,food,brunch,"Via Francesco Paolo Volpe, 41/43, 84122 Salerno SA",Salerno,40.6784372,14.767279300000002,4.5,343,,google_places
google-places-ChIJHc20GDrCOxMRdB9gfZjs7yQ,Bluette Caffè,food,brunch,"Via Santi Martiri Salernitani, 36, 84123 Salerno SA",Salerno,40.6761125,14.769233299999998,4.7,150,,google_places
google-places-ChIJT818wjHCOxMR-2KUiK8XpuU,Cafe' El Ritual,food,brunch,"Via Michele Vernieri, 36, 84125 Salerno SA",Salerno,40.6815984,14.7647918,4.6,49,,google_places
google-places-ChIJ6yJqZADDOxMRC2DpS0iFWG4,"DALÈ,Cucina&Calici",food,brunch,"Largo Andrea Sinno, 4, 84126 Salerno SA",Salerno,40.6851548,14.7709743,5,10,,google_places
google-places-ChIJBTagaeHDOxMRdxrSw10B92w,Filtro Café,food,brunch,"Via Porta di Mare, 60, 84121 Salerno SA",Salerno,40.67955080000001,14.7570432,4.8,322,,google_places
google-places-ChIJU7EEOKvDOxMRo5LX120msBU,Fit House Salerno,food,brunch,"Via Santi Martiri Salernitani, 7/9, 84123 Salerno SA",Salerno,40.6757673,14.7688467,4.1,156,,google_places
google-places-ChIJGy7ywX3DOxMRkNM0L4-OMDQ,Il baretto,food,brunch,"Via Michele Vernieri, 113, 84125 Salerno SA",Salerno,40.6813649,14.763753,4.6,67,,google_places
google-places-ChIJGcTDJwPDOxMRtjIfbVaFDf0,LEAP Caffè,food,brunch,"Via dei Mille, 82, 84132 Salerno SA",Salerno,40.6655495,14.801367899999999,4.9,26,,google_places
google-places-ChIJvXjbHi_COxMRTxYQEkUFDIY,Landi,food,brunch,"Via Romualdo II Guarna, 16, 84121 Salerno SA",Salerno,40.6807948,14.759516999999999,4.5,318,,google_places
google-places-ChIJgYmGALTpOxMRfco5uiF_X-o,Mentha Mare e Spa,food,brunch,"Via Salvador Allende, 84131 Salerno SA",Salerno,40.6270453,14.838968500000002,4.8,190,,google_places
google-places-ChIJgz71LjrCOxMR_G8o4SPgq94,Nero Caffè,food,brunch,"Corso Giuseppe Garibaldi, 134, 84122 Salerno SA",Salerno,40.6753225,14.769178699999998,4.6,181,,google_places
google-places-ChIJcUs2ujrCOxMREveQ59Po6rw,Puntoevirgolacafe Caffetteria Specialty,food,brunch,"Via de Luca Antonio Maria, 10/12, 84122 Salerno SA",Salerno,40.676980199999996,14.764623299999998,4.6,263,,google_places
google-places-ChIJH_gYvy7COxMRA5NIO_8xeAs,Rendez Vous Cafe',food,brunch,"Via Camillo Sorgente, 84125 Salerno SA",Salerno,40.6833856,14.7596145,4.7,69,,google_places
google-places-ChIJv6OgNF7COxMROTb7V0W2AYk,Sweet Bakery,food,brunch,"Via Sichelmanno, 30, 84129 Salerno SA",Salerno,40.664857999999995,14.795802599999998,4.4,715,,google_places
google-places-ChIJX0XVn57BOxMRDFasoWysmn8,A' Cantenera dal 1956,food,ristoranti,"Via Porto, 25/27, 84121 Salerno SA",Salerno,40.677823599999996,14.750397099999999,4.8,53,,google_places
google-places-ChIJW3N-rCjCOxMR2aQ1Uf63mU0,A'Corte,food,ristoranti,"Vicolo Antica Corte, 84121 Salerno SA",Salerno,40.679183699999996,14.757684300000001,4.4,325,,google_places
google-places-ChIJP4ENHybCOxMRX7vjtkVv-DY,Antonio la Trippa,food,ristoranti,"Via Roma, 190, 84121 Salerno SA",Salerno,40.6789473,14.756629300000002,4,1167,,google_places
google-places-ChIJ_-5BAmbDOxMRHEw7S5Lpmak,Banzai Salerno,food,ristoranti,"Corso Vittorio Emanuele, 232, 84122 Salerno SA",Salerno,40.6780245,14.7630222,4.1,947,,google_places
google-places-ChIJJy0M4RXDOxMRw2lyxPITcws,Bistrot di Pescheria,food,ristoranti,"Via Luigi Guercio, 1, 84134 Salerno SA",Salerno,40.6789931,14.775725000000001,4.7,353,,google_places
google-places-ChIJg82uovrDOxMRv9iPYL1c6bI,Capicchione - Trattoria di mare,food,ristoranti,"IRNO CENTER, Via Irno, 2, 84135 Salerno SA",Salerno,40.6820279,14.7756586,4.8,36,,google_places
google-places-ChIJ4U0HlP3DOxMRQAdXlaVSOxA,Casa Ragùsa,food,ristoranti,"Via Luigi Guercio, 391, 84134 Salerno SA",Salerno,40.6734966,14.779557599999997,4.8,1097,,google_places
google-places-ChIJ00pTXnHBOxMReDT-rrsLCrM,Casamare,food,ristoranti,"Corso Giuseppe Garibaldi, 214, 84121 Salerno SA",Salerno,40.6768626,14.764065599999999,4.5,409,,google_places
google-places-ChIJUbYZWKTCOxMRKEOnk5r5P08,Ciardò cucina di mare,food,ristoranti,"Via San Leonardo, 148, 84131 Salerno SA",Salerno,40.6468778,14.830561000000001,4.6,609,,google_places
google-places-ChIJcz0BCi_COxMRontgtGiTjX0,Cicirinella,food,ristoranti,"Via Antonio Genovese, 28, 84121 Salerno SA",Salerno,40.6797843,14.760841800000001,4.6,1257,,google_places
google-places-ChIJK8HA0zvCOxMRDtbthPQQzyI,Crudo Salerno,food,ristoranti,"Via Ulisse Abbagnano, 6, 84123 Salerno SA",Salerno,40.6747412,14.769233499999997,4.2,529,,google_places
google-places-ChIJjQRaezTCOxMRv-TNIzbwQ-I,Da Riccardo,food,ristoranti,"Piazza Pasquale Naddeo, 3, 84126 Salerno SA",Salerno,40.684644999999996,14.7707671,4.3,167,,google_places
google-places-ChIJiX7azRXDOxMR8x52YXKgMDY,Daniele Gourmet - Salerno,food,ristoranti,"Lungomare Trieste, 98, 84122 Salerno SA",Salerno,40.675898,14.7653104,4.4,1351,,google_places
google-places-ChIJ7yHE-SvDOxMRL7Khy0nx5KQ,Embarcadero,food,ristoranti,"Lungomare Trieste, 84121 Salerno SA",Salerno,40.677099299999995,14.759901300000001,4.2,2615,,google_places
google-places-ChIJt8LbsczDOxMRkNcXkhpERpU,Collezione Bongiani Art Museum,attractions,arte,"Via Salvatore Calenda, 105, 84126 Salerno SA",Salerno,40.6877119,14.7688411,5,1,,google_places
google-places-ChIJuXziFTbDOxMRxqr_qWjdqd0,Galleria D'Arte dei Mercanti,attractions,arte,"Via Mercanti, 42, 84121 Salerno SA",Salerno,40.6786716,14.761188299999997,4,11,,google_places
google-places-ChIJecyeFTDCOxMRvmF76JsszBw,Galleria Paola Verrengia & C. S.N.C.,attractions,arte,"Via Fiera Vecchia, 34, 84122 Salerno SA",Salerno,40.679024299999995,14.7650733,4.5,10,,google_places
google-places-ChIJIxrfu3jDOxMRyA22UfNguCw,Murale di Jorit Agoch - Trotula De Ruggiero,attractions,arte,"Via Gelsi Rossi, 21-23, 84127 Salerno SA",Salerno,40.6754695,14.7751532,4.7,7,,google_places
google-places-ChIJlwDAQgDDOxMRbBnS-0J2TZs,Murales Franck Ribery,attractions,arte,"Via Settimio Mobilio, 2, 84127 Salerno SA",Salerno,40.6732331,14.778083899999999,5,2,,google_places
google-places-ChIJY8yA0kHDOxMRcGABvdpCB3g,Murales Masuccio Salernitano,attractions,arte,"Via Masuccio Salernitano, 62, 84121 Salerno SA",Salerno,40.6777033,14.761312000000002,4.8,8,,google_places
google-places-ChIJhacK2qHDOxMRduna22oswh8,Muri d'autore,attractions,arte,"Via Portacatena, 60, 84121 Salerno SA",Salerno,40.6796167,14.754196100000001,4.5,29,,google_places
google-places-ChIJBZY6ZCjCOxMRm1bwlYJbaqg,Rione delle Fornelle,attractions,arte,"Vicolo delle Fornelle, 10, 84121 Salerno SA",Salerno,40.680084099999995,14.7546832,4.6,49,,google_places
osm-node-2472307326,Madonna del Soccorso,attractions,artwork,,Salerno,40.5584702,14.2628044,,0,,openstreetmap_overpass
osm-node-5202328547,Madonna della Grotta,attractions,artwork,,Salerno,40.5553871,14.2276196,,0,,openstreetmap_overpass
osm-node-7024868723,Sphinx,attractions,artwork,,Salerno,40.5572009,14.2260102,,0,,openstreetmap_overpass
osm-node-7478376279,Arco Naturale,attractions,attraction,,Salerno,40.5503906,14.2568063,,0,,openstreetmap_overpass
osm-node-8864275317,Benvenuto ai turisti,attractions,attraction,,Salerno,40.5610155,14.2602124,,0,,openstreetmap_overpass
osm-node-399395084,Grotta Azzurra,attractions,attraction,,Salerno,40.5609387,14.2057363,,0,,openstreetmap_overpass
osm-node-5899745085,Grotta Azzurra,attractions,attraction,,Salerno,40.5609899,14.2057718,,0,,openstreetmap_overpass
osm-way-1036595612,Il Turuziello,attractions,attraction,,Salerno,40.5983526,14.3433118,,0,,openstreetmap_overpass
osm-way-239187266,Scala Fenicia,attractions,attraction,,Salerno,40.5568756,14.2267051,,0,,openstreetmap_overpass
osm-way-537168008,Scala Fenicia,attractions,attraction,,Salerno,40.5562537,14.229437,,0,,openstreetmap_overpass
osm-way-741002489,Scala Fenicia,attractions,attraction,,Salerno,40.5566932,14.2273457,,0,,openstreetmap_overpass
osm-way-1105644955,Scala Fenicia,attractions,attraction,,Salerno,40.5566598,14.2272792,,0,,openstreetmap_overpass
osm-way-1126863256,Scala Fenicia,attractions,attraction,,Salerno,40.5566859,14.2272644,,0,,openstreetmap_overpass
osm-way-751445572,Seggiovia Monte Solaro,attractions,attraction,,Salerno,40.5554496,14.2215213,,0,,openstreetmap_overpass
osm-way-752096878,Villa Lysis/Fersen,attractions,attraction,,Salerno,40.5592879,14.2598516,,0,,openstreetmap_overpass
google-places-ChIJ8XablCjCOxMRQhhvYvN7sSg,Chiesa di Santa Maria de Lama,attractions,chiese,"Gradoni Madonna della Lama, 2, 84121 Salerno SA",Salerno,40.680461099999995,14.756262699999999,4.7,107,,google_places
